id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight
147	intensive-care	0.2588	-0.5734	3	34	55	11
148	intensive-care-unit	0.7118	-0.488	1	22	25	7
149	interference	0.4297	-0.4021	1	8	8	5
150	internet	0.3013	-0.3703	5	31	46	15
151	internet of medical things	0.3094	-0.4406	5	16	19	5
152	internet of medical things (iomt)	0.367	-0.5505	3	9	9	4
153	internet of things	0.2386	-0.3797	5	33	48	13
154	interoperability	0.7618	-0.5623	4	8	8	4
155	involvement	0.5839	-0.5136	1	16	21	5
156	iot	0.2073	-0.3568	5	31	39	9
157	irritation	0.7452	-0.3167	6	9	13	5
158	iso 10993	0.7521	-0.6904	4	14	17	5
159	issues	0.8049	-0.4406	2	24	28	8
160	knowledge	0.3519	-0.5922	3	29	52	12
161	lead	0.6603	-0.6323	4	24	48	8
162	life-cycle assessment	0.5066	-0.35	1	13	19	5
163	low-resource settings	0.6016	-0.6464	7	6	7	4
164	machine learning	0.5288	-0.6719	7	60	92	25
165	magnetic resonance imaging	0.6926	-0.6276	4	24	48	11
166	magnetic resonance imaging (mri)	0.7078	-0.6083	4	24	43	9
167	magnetic resonance imaging (mri) safety	0.6795	-0.6063	4	12	18	4
168	maintenance	0.2042	-0.4068	5	63	89	28
169	mcdm	0.6785	-0.2203	6	24	31	8
170	mdr	0.5693	-0.6297	7	12	14	7
171	measurement	0.4803	-0.3823	1	15	15	4
172	mechanical ventilation	0.1994	-0.6333	3	28	28	5
173	medical device design	0.6106	-0.4773	1	30	40	13
174	medical device development	0.8352	-0.4682	2	21	25	7
175	medical device directive	0.2346	-0.5214	3	4	4	5
176	medical device industry	0.8777	-0.6135	4	13	14	7
177	medical device regulation	0.5642	-0.6755	7	25	31	12
178	medical device regulations	0.5885	-0.6234	7	6	7	4
179	medical device safety	0.7078	-0.3255	6	14	15	9
180	medical device software	0.5814	-0.6536	7	18	23	9
181	medical device-related pressure injuries	0.2985	-0.5758	3	19	31	6
182	medical device-related pressure injury	0.3347	-0.6063	3	27	46	13
183	medical services	0.2658	-0.3978	5	37	50	11
184	medical technology	0.9616	-0.4016	2	27	29	10
185	medicare	0.9454	-0.5083	2	15	16	5
186	metals	0.8413	-0.6401	4	7	7	4
187	methodology	0.5035	-0.3073	8	17	17	5
188	metrology	0.3185	-0.3125	5	4	4	4
189	mhealth	0.5806	-0.6906	7	14	14	5
