id	document	citations	links		
1113	topriceanu (2023)	5	0		
1119	bennett (2021)	5	0		
64	badnjevic (2023b)	4	2		
66	badnjevic (2023c)	4	2		
69	huang (2024b)	4	2		
167	sun (2022)	4	2		
229	luschi (2023)	4	3		
241	yousofnejad (2023)	4	1		
246	marques de santana (2018)	4	3		
307	story (2010)	4	1		
387	foran (2024)	4	0		
398	krahn (2008)	4	0		
399	akpinar (2015)	4	0		
406	kawanishi (2017)	4	0		
430	clarkson (2017)	4	2		
444	zhao (2021a)	4	1		
467	mellado-silva (2022)	4	3		
471	malivindi (2022)	4	0		
491	heinz (2008)	4	1		
508	porte (2018)	4	2		
532	al kalaa (2018)	4	1		
584	barbieri (2021)	4	0		
591	westphal (2022)	4	0		
615	maleknejad (2008)	4	0		
623	candidori (2024)	4	1		
676	kang (2023)	4	0		
736	kishimoto (2022)	4	1		
759	liao (2024b)	4	1		
774	nogueira reis (2019)	4	0		
799	su (2023)	4	1		
812	johnson (2012)	4	1		
835	caron (2022)	4	2		
893	van osch (2024)	4	0		
897	olimid (2018)	4	0		
909	braceras (2008)	4	0		
930	carbonaro (2024)	4	0		
959	eberhardt (2017)	4	0		
962	hochreiter-hufford (2024)	4	3		
977	kim (2016)	4	0		
979	dutot (2013)	4	0		
1018	amaral (2014)	4	0		
1025	huang (2023)	4	0		
1027	blake (2025)	4	0		
1061	martin (2024)	4	0		
1102	chughtai (2022)	4	0		
1103	budowski (2022)	4	0		
1116	aggarwal (2023)	4	0		
1126	tokaya (2021)	4	0		
6	crapanzano (2025)	3	4		
10	chang (2022)	3	2		
21	mercolli (2024)	3	1		
42	chen (2018a)	3	1		
52	huang (2024a)	3	4		
92	badnjevic (2023f)	3	1		
96	pellevoisin (2022)	3	5		
110	badnjevic (2023h)	3	1		
146	shazril (2024)	3	1		
221	manetti (2023)	3	3		
232	santos-costa (2022)	3	2		
256	nelson (2001)	3	1		
318	yilmaz (2025)	3	10		
362	beams (2025)	3	0		
395	liao (2024a)	3	1		
404	kleinman (2001)	3	0		
421	webber (2021)	3	1		
449	seidman (2014)	3	1		
468	shunmugaperumal (2015)	3	0		
469	knisely (2021)	3	2		
477	rossi (2025)	3	0		
494	tezcan (2024)	3	8		
516	gutersohn (2023)	3	0		
538	desmedt (2019)	3	0		
598	ergun (2024)	3	1		
599	wu (2024)	3	0		
617	sardi (2018)	3	0		
620	li (2018)	3	0		
636	ghaedi (2020)	3	0		
647	cooper (2022)	3	2		
653	le (2014)	3	0		
682	russo (2025)	3	0		
688	ho (2021)	3	1		
691	fabbrocini (2022)	3	0		
701	kim (2007)	3	0		
716	de jager (2019)	3	0		
728	kioskli (2025)	3	1		
744	jiang (2024)	3	0		
749	patel (2022)	3	1		
763	blazier (2023)	3	1		
791	meybohm (2023)	3	0		
795	hung (2020)	3	0		
848	kluess (2012)	3	2		
888	damkjaer (2025)	3	5		
898	timbie (2024)	3	3		
899	aruga (2022)	3	0		
911	freitas (2020)	3	0		
919	rao (2025)	3	0		
956	mellert (2009)	3	3		
966	nikkhah (2023)	3	1		
988	seo (2021)	3	0		
1001	inan (2024)	3	0		
1020	chen (2010)	3	0		
1034	hu (2023)	3	6		
1038	seo (2017)	3	0		
1053	nkenyereye (2021)	3	0		
1058	deligiannis (2025)	3	1		
1059	lingg (2016b)	3	1		
1090	homma (2022)	3	0		
1093	kozlov (2020)	3	0		
1106	chambers (2022)	3	0		
9	liu (2022a)	2	3		
27	martina (2024a)	2	4		
31	alhussaini (2024)	2	3		
58	weng (2025)	2	3		
59	badnjevic (2023a)	2	1		
61	schwab (2018)	2	4		
70	badnjevic (2023d)	2	3		
75	lindholm (2015)	2	4		
77	lu (2024)	2	4		
114	rajaram (2019)	2	1		
133	yang (2023)	2	2		
141	suendermann (2024a)	2	4		
165	kim (2024)	2	1		
179	egbosimba (2019)	2	1		
200	demirer (2023)	2	5		
215	badnjevic (2023i)	2	1		
276	chalumuri (2024)	2	2		
346	tang (2023)	2	4		
358	kamarainen (2012)	2	0		
374	periyasamy (2015)	2	0		
401	su (2012)	2	0		
433	guaman-cabrera (2024)	2	2		
442	saylor (2024)	2	0		
447	pibouleau (2013)	2	0		
483	andrade (2024)	2	0		
492	kleymann-hilmes (2022)	2	0		
495	hong (2010)	2	0		
501	akiyama (2023)	2	2		
509	salazar gomez (2012)	2	0		
510	magalhaes costa (2011)	2	0		
541	shetty (2024)	2	0		
556	spahic (2025b)	2	2		
562	briant (2022)	2	1		
564	li (2025b)	2	0		
580	mu (2025)	2	2		
590	marcilly (2024)	2	3		
597	levesque (2014)	2	0		
645	gebel (2024)	2	2		
650	abbasi (2024)	2	0		
665	smit (2024)	2	0		
700	kennedy (2021)	2	0		
710	zhu renjie (2021)	2	0		
712	cubukcu (2025)	2	1		
715	rettinger (2025)	2	1		
731	watson (2024)	2	1		
743	janss (2014)	2	0		
760	kar (2024)	2	0		
762	ostuni (2010)	2	1		
769	forcucci (2014)	2	0		
789	liu (2022b)	2	5		
824	al mamoon (2017)	2	0		
829	liu (2025b)	2	0		
837	seval (2025)	2	1		
838	zaman (2025)	2	0		
842	obidallah (2024)	2	0		
862	smith (2012)	2	0		
869	tarazi (2022)	2	0		
882	peng (2025)	2	0		
907	das (2025)	2	0		
908	karaboce (2020)	2	0		
913	suchkov (2017)	2	0		
917	mccarthy (2021)	2	0		
928	maass (2024)	2	0		
939	wong (2025)	2	0		
944	cosmi (2022)	2	0		
949	fraser (2025)	2	3		
986	yang (2009)	2	0		
1019	dutta (2025)	2	0		
1035	ludlow (2024)	2	0		
1044	zeng (2024)	2	0		
1045	durmaz (2020)	2	0		
1062	jagielski (2021)	2	0		
1076	culo (2019)	2	0		
1081	george (2014)	2	0		
1087	sayed (2022)	2	0		
1095	hsieh (2018)	2	0		
20	wahab (2025)	1	5		
49	martinovic (2025)	1	3		
53	roh (2006)	1	1		
79	li (2025a)	1	16		
81	lin (2024)	1	2		
82	arunyanart (2025)	1	1		
85	zheng (2023)	1	4		
103	badnjevic (2023g)	1	1		
124	funk (2025a)	1	3		
138	huang (2025)	1	1		
162	cao (2022a)	1	1		
181	francesconi (2025)	1	4		
192	tavakoli (2025)	1	3		
207	yan (2019)	1	1		
225	alkhatib (2025)	1	3		
268	han (2024)	1	2		
345	bahar (2023)	1	3		
368	kurakbayev (2014)	1	0		
370	zuo (2025)	1	2		
371	woznica (2012)	1	0		
394	mao (2020)	1	1		
405	chen (2022a)	1	1		
407	gordon (2025)	1	0		
408	tsugita (2023)	1	0		
413	perunicic (2025)	1	3		
423	suttmann (2002)	1	0		
479	bolomey (2024)	1	0		
490	bonatti (2025)	1	0		
511	hussain (2025)	1	1		
520	cioeta (2025)	1	0		
544	hart (2023)	1	0		
545	kuyvenhoven (2001)	1	0		
554	bockwoldt (2018)	1	0		
579	behrend (2014)	1	1		
606	pietzsch (2013)	1	0		
607	motta (2021)	1	0		
628	verga (2023)	1	9		
632	koola (2024)	1	2		
635	suendermann (2024b)	1	5		
637	joo (2024)	1	0		
643	lang (2018)	1	0		
644	navaie (2019)	1	0		
657	yang (2024)	1	0		
672	ge (2025)	1	0		
674	kopchinski (2000)	1	0		
677	valente (2016)	1	0		
697	kwak (2021)	1	0		
699	dresar (2019)	1	0		
702	noemi (2023)	1	0		
708	choi (2024)	1	2		
732	raghav (2023)	1	1		
750	li (2025c)	1	0		
797	hsu (2012)	1	0		
806	dillibe (2025)	1	0		
817	dubois (2002)	1	0		
818	fang (2024)	1	3		
844	sandoli (2024)	1	0		
867	kaphammel (2011)	1	0		
904	arikan (2022)	1	0		
915	jacobs (2017)	1	0		
927	kim (2015)	1	0		
933	chhinal (2025)	1	0		
